Type,Recipe,Material 1,Material 2,Material 3,Material 4,Material 5,Material 6,Level,Priority
No Tool,Onigiri,Rice,,,,,,2,252
No Tool,Salmon Onigiri,Salted Salmon,Rice,,,,,20,254
No Tool,Bamboo Rice,Rice,Bamboo Sprout,,,,,7,248
No Tool,Sandwich,Bread,Egg (S),Cucumber,,,,34,244
No Tool,Fruit Sandwich,Bread,Strawberry,,,,,35,245
No Tool,Pickled Turnip,Turnip,,,,,,4,246
No Tool,Pickled Turnip,Pink Turnip,,,,,,12,246
No Tool,Pickles,Cucumber,,,,,,10,247
No Tool,Pickle Mix,Turnip,Pink Turnip,,,,,48,255
No Tool,Turnip Heaven,Turnip,Pink Turnip,Golden Turnip,,,,96,256
No Tool,Salad,Mayonnaise,Cucumber,Tomato,Cabbage,,,67,243
No Tool,Cheese,Sour Drop,Milk (S),,,,,22,257
No Tool,Relax Tea Leaves,White Grass,Orange Grass,Green Grass,Yellow Grass,Blue Grass,Purple Grass,50,251
Knife,Pike Sashimi,Pike,,,,,,1,105
Knife,Trout Sashimi,Masu Trout,,,,,,2,90
Knife,Cherry Sashimi,Cherry Salmon,,,,,,3,94
Knife,Needlefish Sashimi,Needlefish,,,,,,4,104
Knife,Girella Sashimi,Girella,,,,,,6,99
Knife,Sardine Sashimi,Sardine,,,,,,8,103
Knife,Salmon Sashimi,Salmon,,,,,,12,93
Knife,Char Sashimi,Char,,,,,,15,91
Knife,Rainbow Sashimi,Rainbow Trout,,,,,,26,92
Knife,Skipjack Sashimi,Skipjack,,,,,,37,100
Knife,Yellowtail Sashimi,Yellowtail,,,,,,68,101
Knife,Blowfish Sashimi,Blowfish,,,,,,71,112
Knife,Tuna Sashimi,Tuna,,,,,,74,102
Knife,Taimen Sashimi,Taimen,,,,,,79,95
Knife,Flounder Sashimi,Flounder,,,,,,30,106
Knife,Turbot Sashimi,Turbot,,,,,,21,107
Knife,Fall Sashimi,Fall Flounder,,,,,,58,108
Knife,Squid Sashimi,Squid,,,,,,4,109
Knife,Sunsquid Sashimi,Sunsquid,,,,,,77,110
Knife,Lamp Squid Sashimi,Lamp Squid,,,,,,53,111
Knife,Shrimp Sashimi,Shrimp,,,,,,14,114
Knife,Lobster Sashimi,Lobster,,,,,,40,113
Knife,Snapper Sashimi,Snapper,,,,,,50,96
Knife,Lover Sashimi,Throbby Snapper,,,,,,63,98
Knife,Glitter Sashimi,Glitter Snapper,,,,,,92,97
Frying Pan,Baked Apple,Apple,,,,,,9,126
Frying Pan,Fried Eggs,Egg (S),,,,,,20,123
Frying Pan,French Fries,Oil,Potato,,,,,24,118
Frying Pan,Omelet,Milk (S),Egg (S),,,,,28,124
Frying Pan,Fried Rice,Rice,Oil,Egg (S),,,,30,116
Frying Pan,Miso Eggplant,Eggplant,,,,,,31,122
Frying Pan,French Toast,Bread,Egg (S),,,,,31,128
Frying Pan,Croquettes,Oil,Potato,Egg (S),,,,33,119
Frying Pan,Tempura,Oil,Flour,Shrimp,Egg (S),,,36,131
Frying Pan,Donut,Oil,Flour,Butter,Egg (M),,,46,129
Frying Pan,Risotto,Rice,Wine,Butter,,,,48,134
Frying Pan,Pancakes,Flour,Honey,Milk (S),Egg (S),,,49,132
Frying Pan,Popcorn,Corn,,,,,,51,120
Frying Pan,Corn Cereal,Corn,Milk (S),,,,,53,121
Frying Pan,Curry Bread,Oil,Flour,Curry,,,,59,127
Frying Pan,Omelet Rice,Omelet,Rice,Ketchup,,,,60,125
Frying Pan,Fried Veggies,Cabbage,,,,,,62,115
Frying Pan,Cabbage Cakes,Flour,Cabbage,Egg (S),Leek,,,64,117
Frying Pan,Dry Curry,Rice,Curry Powder,Carrot,Onion,,,86,135
Frying Pan,Gyoza,Flour,Onion,Cabbage,,,,88,133
Frying Pan,Fried Udon,Flour,Onion,Carrot,Cabbage,,,95,130
Frying Pan,Salted Pond Smelt,Pond Smelt,Sour Drop,,,,,6,152
Frying Pan,Salted Pike,Pike,Sour Drop,,,,,8,156
Frying Pan,Salted Masu Trout,Masu Trout,Sour Drop,,,,,9,136
Frying Pan,Salted C. Salmon,Cherry Salmon,Sour Drop,,,,,12,139
