Type,Recipe,Material 1,Material 2,Material 3,Material 4,Material 5,Level,Priority
Short Sword,Broadsword,Minerals,,,,,1,392
Short Sword,Steel Sword,Minerals,Claws and Fangs,,,,3,393
Short Sword,Steel Sword+,Steel Sword,Minerals,,,,4,394
Short Sword,Cutlass,Bronze,Claws and Fangs,,,,7,395
Short Sword,Aqua Sword,Silver,Aquamarine,,,,15,396
Short Sword,Invisiblade,Invisible Stone,Claws and Fangs,Crystals,,,16,397
Short Sword,Defender,Sapphire,Claws and Fangs,,,,19,398
Short Sword,Burning Sword,Gold,Fire Crystal,,,,20,399
Short Sword,Gorgeous Sword,Gold,Gold,Gold,Gold,,23,400
Short Sword,Gaia Sword,Gold,Earth Crystal,Rigid Horn,,,27,401
Short Sword,Snakesword,Diamond,Claws and Fangs,,,,30,402
Short Sword,Luck Blade,Diamond,Scorpion Pincer,Claws and Fangs,,,35,403
Short Sword,Platinum Sword,Platinum,Silver,Claws and Fangs,Sticks and Stems,,38,404
Short Sword,Wind Sword,Platinum,Silver,Wind Crystal,,,40,405
Short Sword,Chaos Blade,Platinum,Gold,Magic,Holy Spore,,42,406
Short Sword,Sakura,Platinum,Paralysis Poison,Poison Powder,Cherry Grass,,44,407
Short Sword,Sunspot,Platinum,Gold,Warrior's Proof,Fire Crystal,Ruby,46,408
Short Sword,Durendal,Platinum,Platinum,Malm Claw,Devil Horn,Ambrosia's Thorns,50,409
Short Sword,Aerial Blade,Orichalcum,Lightning Mane,Wind Crystal,Emerald,Claws and Fangs,54,410
Short Sword,Grantale,Orichalcum,Yellow Feather,Earth Crystal,Amethyst,Cursed Doll,59,411
Short Sword,Smash Blade,Orichalcum,Pirate's Armor,4-Leaf Clover,Chimera's Claw,Claws and Fangs,64,412
Short Sword,Icifier,Orichalcum,Icy Nose,Water Crystal,Aquamarine,Claws and Fangs,68,413
Short Sword,Soul Eater,Orichalcum,Dangerous Scissors,Love Crystal,Legendary Scale,Earth Dragon Ash,70,414
Short Sword,Raventine,Orichalcum,Orichalcum,Golem Spirit Stone,Fire Crystal,Fire Dragon Ash,74,415
Short Sword,Star Saber,Orichalcum,Golem Spirit Stone,Wind Crystal,Emerald,Electro Crystal,77,416
Short Sword,Platinum Sword+,Platinum Sword,Dragonic Stone,,,,79,417
Short Sword,Dragon Slayer,Dragonic Stone,Dragonic Stone,Black Scale,Blue Scale,Glitter Scale,82,418
