NPC,ID Dec,ID Hex,,,,,,,,Model Size?,,,Base Level,Base HP,Base STR,Base INT,Base VIT,XP,Base Atk,Base MAtk,Diz,Base Def,Base MDef,STR Level,INT Level,VIT Level,Atk Level,MAtk Level,Def Level,MDef Level,,Diz Res%,Knock Atk%?,Stun Attack?,Knock Res%,,Crit Atk%,Crit Res%,,Flying?,,Fire Res%,Water Res%,Earth Res%,Wind Res%,Light Res%,Dark Res%,Phys Res%,Love Res%,Psn Res%,Seal Res%,Par Res%,Slp Res%,Ftg Res%,Sick Res%,Fnt Res%,Drain Res%,,Friendliness,,Drop 1,Drop 2,Drop 3,Drop 4,Scarcity 1,Scarcity 2,Scarcity 3,Scarcity 4,,,,,,,,,,,EVs (VIT INT STR HP),Produce,,Produce Chance,Upgradable
Lest,0,0000,100.00%,10,100.00%,100.00%,100.00%,100.00%,100.00%,170,00 00 00 01,0,0,60,10,10,10,0,0,0,1,0,0,200,200,200,0,0,0,0,0,0.00%,100.00%,0.00%,0.00%,100.00%,2.98%,0.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,,,,,,,,,,,,,,,,,,,,,,,No
Vishnal,1,0001,100.00%,10,84.99%,109.99%,100.00%,100.00%,100.00%,175,00 00 00 01,0,2,98,10,8,9,0,0,0,1,0,0,230,180,190,0,0,0,0,0,0.00%,100.00%,0.00%,0.00%,100.00%,2.98%,0.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,Steel Edge,,,,,,,,,,,,,,,,,,,,,,No
Clorica,2,0002,100.00%,10,79.98%,100.00%,100.00%,100.00%,95.00%,160,00 00 00 00,0,1,42,2,16,3,0,0,0,1,0,0,100,400,100,0,0,0,0,0,0.00%,100.00%,0.00%,0.00%,100.00%,4.98%,0.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,Lance,,,,,,,,,,,,,,,,,,,,,,No
Volkanon,3,0003,109.99%,10,84.99%,120.00%,100.00%,100.00%,100.00%,190,00 00 00 01,0,50,3000,162,2,151,0,0,0,2,0,0,295,50,295,0,0,0,0,0,9.99%,100.00%,25.00%,0.00%,0.00%,9.99%,9.99%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-25.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,Bear Claws,,,,,,,,,,,,,,,,,,,,,,No
Forte,4,0004,100.00%,10,84.99%,104.98%,100.00%,100.00%,100.00%,165,00 00 00 00,0,12,692,30,12,46,0,0,0,1,0,0,260,20,300,0,0,0,0,0,9.99%,100.00%,25.00%,0.00%,50.00%,4.98%,25.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,Zweihaender,Iron Shield,,,,,,,,,,,,,,,,,,,,,No
Kiel,5,0005,95.00%,10,84.99%,100.00%,100.00%,100.00%,97.00%,158,00 00 00 01,0,0,57,5,15,3,0,0,0,1,0,0,30,450,120,0,0,0,0,0,0.00%,100.00%,0.00%,0.00%,100.00%,2.98%,0.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,Steel Sword,,,,,,,,,,,,,,,,,,,,,,No
Bado,6,0006,100.00%,10,84.99%,114.99%,100.00%,100.00%,100.00%,180,00 00 00 01,0,35,2400,120,8,98,0,0,0,1,0,0,270,50,290,0,0,0,0,0,4.98%,100.00%,0.00%,0.00%,100.00%,4.98%,9.99%,00 23 40 00,0,0,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9.99%,9.99%,9.99%,9.99%,9.99%,9.99%,9.99%,0.00%,0,0,1,Zweihaender+,,,,,,,,,,,,,,,,,,,,,,No
Margaret,7,0007,100.00%,10,84.99%,120.00%,100.00%,100.00%,95.00%,172,00 00 00 00,0,5,280,8,26,11,0,0,0,1,0,0,190,280,170,0,0,0,0,0,0.00%,100.00%,0.00%,0.00%,100.00%,2.98%,0.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%,0.00%,0,0,1,Elvish Harp,,,,,,,,,,,,,,,,,,,,,,No
Dylas,8,0008,100.00%,10,84.99%,120.00%,100.00%,100.00%,100.00%,185,00 00 00 01,0,18,1120,67,7,51,0,0,0,1,0,0,280,60,260,0,0,0,0,0,14.99%,100.00%,0.00%,0.00%,100.00%,4.98%,4.98%,00 23 40 00,0,0,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,25.00%,25.00%,25.00%,25.00%,25.00%,25.00%,20.00%,0.00%,0,0,1,Brass Knuckles,,,,,,,,,,,,,,,,,,,,,,No
Arthur,9,0009,100.00%,10,84.99%,104.98%,100.00%,100.00%,100.00%,175,00 00 00 01,0,10,580,25,40,15,0,0,0,1,0,0,150,350,100,0,0,0,0,0,0.00%,100.00%,0.00%,0.00%,100.00%,2.98%,0.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,Silver Staff,,,,,,,,,,,,,,,,,,,,,,No
Porcoline,10,000A,100.00%,10,70.00%,89.99%,100.00%,100.00%,104.98%,160,00 00 00 01,0,5,60,12,11,22,0,0,0,1,0,0,100,80,420,0,0,0,0,0,0.00%,100.00%,0.00%,0.00%,100.00%,1.98%,0.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,Double Scratch,,,,,,,,,,,,,,,,,,,,,,No
Xiao Pai,11,000B,89.99%,10,84.99%,114.99%,100.00%,100.00%,95.00%,155,00 00 00 00,0,1,62,8,8,5,0,0,0,1,0,0,320,180,100,0,0,0,0,0,0.00%,100.00%,0.00%,0.00%,100.00%,2.98%,0.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,Battle Axe,,,,,,,,,,,,,,,,,,,,,,No
Lin Fa,12,000C,100.00%,10,84.99%,104.98%,100.00%,100.00%,100.00%,162,00 00 00 01,0,4,210,23,6,10,0,0,0,1,0,0,280,100,220,0,0,0,0,0,0.00%,100.00%,0.00%,0.00%,100.00%,14.99%,14.99%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,Safety Lance,,,,,,,,,,,,,,,,,,,,,,No
Amber,13,000D,89.99%,10,84.99%,125.00%,100.00%,100.00%,95.00%,150,00 00 00 01,0,12,774,14,48,26,0,0,0,2,0,0,100,360,200,0,0,0,0,0,14.99%,100.00%,25.00%,0.00%,100.00%,2.98%,9.99%,00 23 40 00,0,0,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,50.00%,50.00%,70.00%,50.00%,50.00%,50.00%,50.00%,0,0,1,Tin Waterpot,,,,,,,,,,,,,,,,,,,,,,No
Illuminata,14,000E,100.00%,10,84.99%,109.99%,100.00%,100.00%,100.00%,168,00 00 00 00,0,7,392,24,23,10,0,0,0,1,0,0,280,220,100,0,0,0,0,0,4.98%,100.00%,0.00%,0.00%,100.00%,2.98%,0.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%,0.00%,0,0,1,Tin Waterpot,,,,,,,,,,,,,,,,,,,,,,No
Doug,15,000F,100.00%,10,84.99%,114.99%,100.00%,100.00%,100.00%,180,00 00 00 01,0,25,1480,88,3,80,0,0,0,1,0,0,280,30,290,0,0,0,0,0,9.99%,100.00%,0.00%,0.00%,0.00%,3.98%,9.99%,00 23 40 00,0,0,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9.99%,9.99%,9.99%,9.99%,9.99%,9.99%,9.99%,0.00%,0,0,1,Defender,,,Charm,,,,,,,,,,,,,,,,,,,No
Blossom,16,0010,85.99%,10,70.00%,79.98%,100.00%,100.00%,89.99%,150,00 00 00 00,0,1,60,2,18,2,0,0,0,1,0,0,200,200,200,0,0,0,0,0,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,00 23 40 00,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,Iron Sickle,,,,,,,,,,,,,,,,,,,,,,No
