Main Area,Map Link,Floor,Sub Area,Type Found,Name
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,A1,Monster,Wooly
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,A1,Item,Medicinal Herb
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,B1,Item,Medicinal Herb
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,B1,Mineral,Amethyst Mineral
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,B1,Mineral,Iron Mineral
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,B2,Monster,Ant
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,B2,Monster,Beetle
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,B2,Monster,Pomme Pomme
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,B2,Item,Purple Grass
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,B2,Mineral,Amethyst Mineral
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,B3,Monster,Pomme Pomme
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,B3,Item,Bamboo Sprout
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,B4,Monster,Wooly
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,B4,Monster,Orc
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,B4,Monster,Orc Archer
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,B4,Mineral,Iron Mineral
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,B5,Monster,Wooly
Selphia Plain,https://static.wikia.nocookie.net/harvestmoonrunefactory/images/2/28/Selphia_plains.jpg,-,B5,Item,Medicinal Herb
